Time,Spinz_On_BIS,Spinz_away_BIS
(2.22+0j),(-0.7906367379999736-1.2718602965197482e-22j),(0.8526645656973721+1.8070942012296763e-17j)
(2.24+0j),(-0.8056971445572152+5.977705716545502e-23j),(0.8525328097826625+3.5649640859007613e-17j)
(2.2600000000000002+0j),(-0.8204394009750735+1.119299622042417e-22j),(0.8519264012556655+1.0546589939379422e-16j)
(2.2800000000000002+0j),(-0.8348396586257594+0j),(0.8508624309740852+0j)
(2.3000000000000003+0j),(-0.8488726160012771+0j),(0.8493589021784-9.110311779503822e-17j)
(2.32+0j),(-0.8625114601490176+4.461894309024943e-23j),(0.8474346195610579+5.2372391642742724e-17j)
(2.34+0j),(-0.875727809537605-8.178925325425722e-23j),(0.8451090825637136-2.9487408172331874e-17j)
(2.36+0j),(-0.8884916590898407+0j),(0.8424023832282714-5.0836291351036935e-17j)
(2.38+0j),(-0.9007713282321763+0j),(0.839335108840385-8.584011340914607e-17j)
(2.4+0j),(-0.9125334129331889+0j),(0.8359282495242746-1.127205791648661e-16j)
(2.42+0j),(-0.923742742837085+2.658279737318285e-23j),(0.8322031108755916+2.081260947901143e-16j)
(2.44+0j),(-0.9343623447419576+4.6447102376298327e-23j),(0.8281812316546663-1.5028120189558363e-16j)
(2.46+0j),(-0.9443534138259198+3.99734650175594e-23j),(0.8238843065058404-8.070514995721635e-17j)
