phi,Spinx,Spiny
(-1.9007967277829252+0j),(-0.0756001426166785+0j),(-0.9971382143094998+0j)
(-1.8912830836535612+0j),(-0.06416318252393184+0j),(-0.9979394200092512+0j)
(-1.8815718103133394+0j),(-0.052277421990066665+0j),(-0.9986326006845924+0j)
(-1.8716438561720614+0j),(-0.03990648257660913+0j),(-0.9992034190535793+0j)
(-1.8614770937548757+0j),(-0.02700884109032916+0j),(-0.999635194710029+0j)
(-1.8510455938920558+0j),(-0.01353668829348258+0j),(-0.9999083748374373+0j)
(-1.8403186647050194+0j),(0.0005655715069314438+0j),(-0.9999998400644226+0j)
(-1.8292595551486777+0j),(0.015363330736231556+0j),(-0.9998819770696386+0j)
(-1.817823668164337+0j),(0.03093453096484699+0j),(-0.999521412874174+0j)
(-1.8059560361767986+0j),(0.04737352695712892+0j),(-0.9988772441815073+0j)
(-1.7935876494417087+0j),(0.06479667239778959+0j),(-0.9978984874455786+0j)
(-1.780629928817674+0j),(0.08335067947376533+0j),(-0.9965202778826239+0j)
(-1.7669660516130927+0j),(0.10322566453414161+0j),(-0.9946579624079249+0j)
(-1.752436621406861+0j),(0.12467658427906636+0j),(-0.9921974346532574+0j)
(-1.7368144008334057+0j),(0.14806083639523845+0j),(-0.988978254930786+0j)
(-1.719755779159455+0j),(0.17391011874819667+0j),(-0.9847615298116537+0j)
(-1.7006958470814262+0j),(0.20308502349123075+0j),(-0.9791611068836255+0j)
(-1.6785777227707304+0j),(0.2371718983002933+0j),(-0.9714676992348409+0j)
(-1.6509066853189545+0j),(0.2798627264916917+0j),(-0.9600400274575205+0j)
(-1.6065219056341027+0j),(0.34743661903345313+0j),(-0.9377034689893192+0j)
(-1.5350707479556904+0j),(0.45005842394188805+0j),(-0.8929991125633574+0j)
(-1.4906859682708387+0j),(0.5078246970042272+0j),(-0.8614604327028403+0j)
(-1.463014930819063+0j),(0.5410350910404392+0j),(-0.8410000179921899+0j)
(-1.440896806508367+0j),(0.565953101709604+0j),(-0.8244374364773102+0j)
(-1.4218368744303382+0j),(0.5862560726643532+0j),(-0.8101258033565952+0j)
(-1.4047782527563875+0j),(0.6035166122406431+0j),(-0.7973504240605739+0j)
(-1.3891560321829322+0j),(0.6185824051167595+0j),(-0.785719929796849+0j)
(-1.3746266019767006+0j),(0.6319730112335759+0j),(-0.774990395471045+0j)
(-1.3609627247721192+0j),(0.6440344030987523+0j),(-0.7649965278517504+0j)
(-1.3480050041480844+0j),(0.6550107731238444+0j),(-0.7556195385851955+0j)
(-1.3356366174129946+0j),(0.6650820868579662+0j),(-0.74677025767009+0j)
(-1.3237689854254562+0j),(0.6743854757880605+0j),(-0.7383794620966319+0j)
(-1.3123330984411155+0j),(0.6830282432322358+0j),(-0.7303919625427745+0j)
(-1.301273988884774+0j),(0.6910961874289224+0j),(-0.7227627963040212+0j)
(-1.2905470596977373+0j),(0.6986591537340415+0j),(-0.7154546714527994+0j)
(-1.2801155598349174+0j),(0.7057748678267171+0j),(-0.7084361904534383+0j)
(-1.269948797417732+0j),(0.7124916597171378+0j),(-0.7016805789200087+0j)
(-1.2600208432764537+0j),(0.718850447834669+0j),(-0.6951647528808518+0j)
(-1.2503095699362319+0j),(0.7248862152662665+0j),(-0.688868619489194+0j)
(-1.2407959258068681+0j),(0.7306291287114269+0j),(-0.6827745427872814+0j)
(-1.2314633779040258+0j),(0.7361054005864129+0j),(-0.676866928744134+0j)
(-1.2222974776630031+0j),(0.7413379629204079+0j),(-0.6711318981638558+0j)
(-1.213285518202231+0j),(0.7463470009806151+0j),(-0.665557025451044+0j)
(-1.2044162605729967+0j),(0.7511503807528879+0j),(-0.6601311275002807+0j)
